longitude,latitude
13.5727035,100.4227035
13.587451,100.492668
13.605784,100.506623
13.606023,100.459452
13.611363,100.5084265
13.612153,100.510002
13.613678,100.381829
13.616667,100.443642
13.618533,100.386811
13.618947,100.385748
13.618809,100.5106105
13.621286,100.512876
13.620338,100.501342
13.620463,100.492596
13.624233,100.478473
13.624946,100.508025
13.625216,100.417263
13.627212,100.505059
13.627397,100.506898
13.627397,100.506898
13.630095,100.5038995
13.63182,100.434266
13.632581,100.432903
13.632369,100.444016
13.633347,100.503169
13.633569,100.366545
13.633944,100.368881
13.635457,100.368491
13.635555,100.512143
13.644646,100.510601
13.636092,100.429658
13.639664,100.43199
13.637245,100.444264
13.637666,100.377205
13.638181,100.417549
13.638566,100.371795
13.638566,100.371795
13.639172,100.501082
13.640009,100.444698
13.641694,100.444164
13.6402,100.374563
13.640705,100.374082
13.641588,100.379372
13.641588,100.379372
13.642347,100.41342
13.644129,100.414096
13.642692,100.499153
13.6463675,100.4978665
13.64281,100.367473
13.643755,100.37783
13.644819,100.379334
13.64378,100.455639
13.643951,100.420325
13.644269,100.423312
13.644459,100.422299
13.644459,100.422299
13.644982,100.431383
13.64509,100.478664
13.645795,100.381466
13.646514,100.382855
13.64608,100.4148
13.646107,100.422803
13.6461895,100.420562
13.648668,100.41791
13.6503545,100.387007
13.655539,100.385207
13.650301,100.405384
13.651807,100.405885
13.650378,100.495853
13.650419,100.481746
13.651206,100.4836695
13.650558,100.431233
13.651031,100.430459
13.650648,100.486763
13.650849,100.48878
13.650776,100.473912
13.652386,100.472617
13.650959,100.443237
13.65166475,100.448764
13.653972,100.447571
13.65172125,100.4222888
13.652103,100.424622
13.6535535,100.4111695
13.654292,100.409684
13.653656,100.424806
13.654014,100.425517
13.654328,100.425272
13.654124,100.391841
13.654408,100.391723
13.655591,100.394148
13.656372,100.394051
13.655785,100.499021
13.656367,100.425315
13.6567565,100.416996
13.65699025,100.4999733
13.658377,100.500543
13.657034,100.511603
13.657453,100.433161
13.657515,100.435974
13.658411,100.397197
13.659302,100.4445855
13.659204,100.399141
13.659204,100.399141
13.659247,100.398728
13.65961,100.43353
13.659858,100.458418
13.659867,100.404637
13.660772,100.405943
13.66005,100.430025
13.661022,100.429229
13.660082,100.414456
13.662534,100.416077
13.660267,100.37188
13.6606365,100.43545
13.660678,100.434206
13.661334,100.403693
13.6617895,100.4044435
13.661629,100.439248
13.6618195,100.4421345
13.661817,100.442224
13.661962,100.441819
13.662074,100.444205
13.66288,100.441156
13.663195,100.406921
13.663654,100.407254
13.663373,100.437881
13.663695,100.435697
13.66366,100.502991
13.664163,100.428463
13.664611,100.406314
13.664976,100.446791
13.66678,100.44539
13.665184,100.455396
13.665193,100.392915
13.665742,100.441601
13.668233,100.442951
13.666048,100.480841
13.668872,100.478362
13.666376,100.428626
13.666376,100.428626
13.666592,100.412512
13.666899,100.413473
13.666771,100.426155
13.666892,100.427828
13.667292,100.452666
13.669817,100.450414
13.667463,100.40356
13.66761,100.414451
13.668036,100.414203
13.667759,100.406951
13.668211,100.405356
13.668066,100.447385
13.668409,100.3846685
13.668597,100.505275
13.669403,100.505951
13.668999,100.428225
13.669818,100.509926
13.66998,100.420299
13.670623,100.4054585
13.67072,100.437653
13.673023,100.437854
13.670853,100.348136
13.671563,100.346986
13.671021,100.455591
13.671912,100.4562445
13.6712935,100.4704415
13.671144,100.444964
