site_id,latitude,longitude,count
1,13.5727035,100.4227035,2
2,13.587451,100.492668,1
3,13.605784,100.506623,1
4,13.606023,100.459452,1
5,13.611363,100.5084265,2
6,13.612153,100.510002,1
7,13.613678,100.381829,1
8,13.616667,100.443642,1
9,13.618533,100.386811,1
10,13.618947,100.385748,1
11,13.618809,100.5106105,2
12,13.621286,100.512876,1
13,13.620338,100.501342,1
14,13.620463,100.492596,1
15,13.624233,100.478473,1
16,13.624946,100.508025,1
17,13.625216,100.417263,1
18,13.627212,100.505059,1
19,13.627397,100.506898,8
20,13.627397,100.506898,8
21,13.630095,100.5038995,2
22,13.63182,100.434266,1
23,13.632581,100.432903,1
24,13.632369,100.444016,1
25,13.633347,100.503169,1
26,13.633569,100.366545,1
27,13.633944,100.368881,1
28,13.635457,100.368491,1
29,13.635555,100.512143,1
30,13.644646,100.510601,1
31,13.636092,100.429658,1
32,13.639664,100.43199,1
33,13.637245,100.444264,1
34,13.637666,100.377205,1
35,13.638181,100.417549,1
36,13.638566,100.371795,4
37,13.638566,100.371795,16
38,13.639172,100.501082,1
39,13.640009,100.444698,1
40,13.641694,100.444164,1
41,13.6402,100.374563,1
42,13.640705,100.374082,1
43,13.641588,100.379372,2
44,13.641588,100.379372,32
45,13.642347,100.41342,1
46,13.644129,100.414096,1
47,13.642692,100.499153,1
48,13.6463675,100.4978665,2
49,13.64281,100.367473,1
50,13.643755,100.37783,1
51,13.644819,100.379334,1
52,13.64378,100.455639,1
53,13.643951,100.420325,1
54,13.644269,100.423312,1
55,13.644459,100.422299,8
56,13.644459,100.422299,8
57,13.644982,100.431383,1
58,13.64509,100.478664,1
59,13.645795,100.381466,1
60,13.646514,100.382855,1
61,13.64608,100.4148,1
62,13.646107,100.422803,1
63,13.6461895,100.420562,2
64,13.648668,100.41791,1
65,13.6503545,100.387007,2
66,13.655539,100.385207,1
67,13.650301,100.405384,1
68,13.651807,100.405885,1
69,13.650378,100.495853,1
70,13.650419,100.481746,1
71,13.651206,100.4836695,2
72,13.650558,100.431233,1
73,13.651031,100.430459,1
74,13.650648,100.486763,1
75,13.650849,100.48878,2
76,13.650776,100.473912,1
77,13.652386,100.472617,1
78,13.650959,100.443237,1
79,13.65166475,100.448764,3
80,13.653972,100.447571,1
81,13.65172125,100.4222888,3
82,13.652103,100.424622,1
83,13.6535535,100.4111695,2
84,13.654292,100.409684,1
85,13.653656,100.424806,1
86,13.6540165,100.353776,2
87,13.65992,100.352606,1
88,13.654014,100.425517,1
89,13.654328,100.425272,1
90,13.654124,100.391841,1
91,13.654408,100.391723,1
92,13.655591,100.394148,1
93,13.656372,100.394051,1
94,13.655785,100.499021,1
95,13.656367,100.425315,1
96,13.6567565,100.416996,2
97,13.65699025,100.4999733,3
98,13.658377,100.500543,1
99,13.657034,100.511603,1
100,13.657453,100.433161,1
101,13.657515,100.435974,1
102,13.658027,100.34452,1
103,13.658411,100.397197,1
104,13.659302,100.4445855,2
105,13.659204,100.399141,16
106,13.659204,100.399141,4
107,13.659247,100.398728,1
108,13.65961,100.43353,1
109,13.659858,100.458418,1
110,13.659867,100.404637,1
111,13.660772,100.405943,1
112,13.66005,100.430025,1
113,13.661022,100.429229,1
114,13.660082,100.414456,1
115,13.662534,100.416077,1
116,13.660267,100.37188,1
117,13.6606365,100.43545,2
118,13.660678,100.434206,1
119,13.661334,100.403693,1
